id,data.aspect,data.start_elev,data.location_lat,data.location_long
779,SW,2300.0,58.3,-134.3
947,SE,4100.0,58.3,-134.3
962,NW,4200.0,58.3,-134.3
853,E,2700.0,58.3,-134.5
863,W,2550.0,58.3,-134.5
864,W,2800.0,58.3,-134.5
892,WNW,2500.0,58.3,-134.5
861,SW,2300.0,58.3,-134.5
813,NE,1600.0,58.1,-133.7
805,SE,400.0,58.1,-133.7
775,SW,3200.0,58.3,-134.4
793,NW,3200.0,58.3,-134.4
922,N,2400.0,58.3,-134.5
820,ESE,3200.0,58.1,-133.8
819,SSE,2400.0,58.1,-133.8
989,S,5300.0,58.4,-134.3
990,SW,5000.0,58.4,-134.3
902,NNW,2050.0,58.3,-134.5
841,ENE,3400.0,58.3,-134.5
1005,S,4000.0,58.5,-134.6
1004,SE,4700.0,58.5,-134.6
895,NW,2300.0,58.3,-134.5
850,SSW,3300.0,58.3,-134.5
792,SSE,2900.0,58.3,-134.4
953,NNW,3000.0,58.3,-134.6
909,WNW,2700.0,58.3,-134.5
865,SW,3000.0,58.3,-134.5
872,E,3100.0,58.3,-134.5
871,N,3100.0,58.3,-134.5
851,NW,2800.0,58.3,-134.5
847,N,3000.0,58.3,-134.5
859,NE,2600.0,58.2,-134.5
996,WNW,3500.0,58.4,-134.5
998,W,2700.0,58.4,-134.5
997,NW,3800.0,58.4,-134.5
994,SE,3700.0,58.4,-134.5
980,W,3950.0,58.4,-134.4
803,NE,1200.0,58.1,-133.8
815,ENE,1600.0,58.1,-133.8
816,ENE,1800.0,58.1,-133.8
817,NE,1800.0,58.1,-133.8
818,ENE,1800.0,58.1,-133.8
802,ESE,1900.0,58.1,-133.8
777,SW,1700.0,58.3,-134.4
981,W,4400.0,58.4,-134.4
877,SW,3000.0,58.3,-134.5
876,NW,2800.0,58.3,-134.5
920,E,2800.0,58.3,-134.5
929,NE,2700.0,58.3,-134.5
886,W,2150.0,58.3,-134.5
778,SW,1750.0,58.3,-134.4
979,W,4400.0,58.4,-134.4
901,WNW,2000.0,58.3,-134.5
900,NW,2100.0,58.3,-134.5
899,WNW,2100.0,58.3,-134.5
840,NE,3300.0,58.3,-134.5
780,SW,2400.0,58.3,-134.4
856,WSW,2700.0,58.3,-134.5
927,W,2400.0,58.3,-134.5
827,W,3500.0,58.3,-134.3
828,NNW,3400.0,58.3,-134.3
830,SE,3400.0,58.2,-134.2
800,W,2400.0,58.3,-134.4
884,NW,2250.0,58.3,-134.5
1009,W,3500.0,58.5,-134.7
1000,SW,5700.0,58.5,-134.5
